year,state,rate,value
1990,Alabama,8.22699005,"42,607"
1990,Arizona,8.285555556,"53,309"
1990,Arkansas,7.642222222,"41,565"
1990,California,8.303448276,"60,726"
1990,Colorado,5.260677083,"56,062"
1990,Connecticut,5.151041667,"70,905"
1990,Delaware,4.383333333,"56,191"
1990,Hawaii,3.6375,"70,998"
1990,Idaho,6.321401515,"46,160"
1990,Illinois,6.575898693,"59,362"
1990,Indiana,6.023731884,"49,121"
1990,Iowa,4.356902357,"49,778"
1990,Kansas,3.441507937,"54,573"
1990,Kentucky,7.274513889,"45,203"
1990,Louisiana,6.1046875,"40,870"
1990,Maine,5.732291667,"50,099"
1990,Maryland,5.723263889,"70,881"
1990,Massachusetts,6.210714286,"66,120"
1990,Michigan,8.860441767,"54,610"
1990,Minnesota,6.088793103,"57,397"
1990,Mississippi,8.838109756,"36,808"
1990,Missouri,6.540362319,"49,858"
1990,Montana,5.305803571,"42,640"
1990,Nebraska,2.002777778,"50,131"
1990,Nevada,5.26127451,"58,415"
1990,New Hampshire,5.676666667,"74,435"
1990,New Jersey,5.103174603,"70,657"
1990,New Mexico,8.228030303,"45,675"
1990,New York,5.420564516,"57,627"
1990,North Carolina,4.932,"48,028"
1990,North Dakota,3.94245283,"46,085"
1990,Ohio,6.707007576,"54,748"
1990,Oklahoma,6.2504329,"44,480"
1990,Oregon,6.734722222,"53,413"
1990,Pennsylvania,6.499751244,"52,910"
1990,Rhode Island,5.985,"58,315"
1990,South Carolina,5.996014493,"52,417"
1990,South Dakota,4.310227273,"44,821"
1990,Tennessee,6.716578947,"41,211"
1990,Texas,5.589468504,"51,492"
1990,Utah,5.883333333,"54,984"
1990,Vermont,5.710714286,"56,728"
1990,Virginia,5.922744361,"63,979"
1990,Washington,7.39508547,"58,577"
1990,West Virginia,10.05106061,"40,381"
1990,Wisconsin,5.255787037,"56,022"
1990,Wyoming,4.926086957,"53,740"
1991,Alabama,9.081840796,"42,852"
1991,Arizona,8.940555556,"54,101"
1991,Arkansas,8.295,"41,248"
1991,California,8.362068966,"59,253"
1991,Colorado,6.050390625,"55,442"
1991,Connecticut,6.591666667,"74,196"
1991,Delaware,5.911111111,"57,353"
1991,Hawaii,4.1375,"65,557"
1991,Idaho,7.314015152,"45,967"
1991,Illinois,7.504084967,"56,120"
1991,Indiana,6.731431159,"47,680"
1991,Iowa,4.707659933,"50,257"
1991,Kansas,3.668015873,"51,563"
1991,Kentucky,8.980694444,"41,827"
1991,Louisiana,8.3996875,"44,529"
1991,Maine,7.988020833,"49,051"
1991,Maryland,7.436805556,"65,040"
1991,Massachusetts,8.692857143,"62,861"
1991,Michigan,10.44829317,"56,530"
1991,Minnesota,6.440996169,"51,886"
1991,Mississippi,10.17794715,"34,278"
1991,Missouri,7.319130435,"49,153"
1991,Montana,6.389285714,"43,698"
1991,Nebraska,2.370698925,"52,010"
1991,Nevada,5.660784314,"57,973"
1991,New Hampshire,7.330833333,"63,421"
1991,New Jersey,6.836507937,"70,491"
1991,New Mexico,8.744949495,"46,714"
1991,New York,7.394892473,"55,961"
1991,North Carolina,6.784333333,"47,264"
1991,North Dakota,4.717295597,"45,573"
1991,Ohio,7.624621212,"52,434"
1991,Oklahoma,7.056168831,"44,816"
1991,Oregon,7.626388889,"53,138"
1991,Pennsylvania,8.21380597,"53,449"
1991,Rhode Island,8.108333333,"54,275"
1991,South Carolina,7.688949275,"48,338"
1991,South Dakota,4.266161616,"43,368"
1991,Tennessee,8.536140351,"43,040"
1991,Texas,6.230764904,"48,813"
1991,Utah,6.486781609,"49,311"
1991,Vermont,7.397619048,"51,316"
1991,Virginia,7.624185464,"63,605"
1991,Washington,8.527136752,"59,791"
1991,West Virginia,12.42727273,"40,741"
1991,Wisconsin,6.659837963,"54,798"
1991,Wyoming,5.026811594,"51,131"
1992,Alabama,9.296890547,"44,323"
1992,Arizona,11.73944444,"50,420"
1992,Arkansas,7.970888889,"41,015"
1992,California,12.03448276,"59,943"
1992,Colorado,7.470963542,"55,788"
1992,Connecticut,7.483333333,"70,141"
1992,Delaware,5.297222222,"61,274"
1992,Hawaii,7.122916667,"72,325"
1992,Idaho,7.527083333,"47,579"
1992,Illinois,7.982352941,"54,186"
1992,Indiana,7.151358696,"48,998"
1992,Iowa,4.536868687,"49,364"
1992,Kansas,3.853888889,"52,117"
1992,Kentucky,8.316875,"40,333"
1992,Louisiana,8.990625,"43,689"
1992,Maine,7.822916667,"50,865"
1992,Maryland,8.220486111,"63,893"
1992,Massachusetts,8.511904762,"62,443"
1992,Michigan,10.67008032,"55,416"
1992,Minnesota,6.486111111,"53,207"
1992,Mississippi,9.41351626,"35,327"
1992,Missouri,7.13557971,"46,990"
1992,Montana,6.266815476,"45,554"
1992,Nebraska,2.578853047,"51,605"
